bcfeg ea fbdga fbgcdae
ceg cfdgae bdcg cdgfbe
eaf cdgefb fea bfacd
afcge egb cgfbd bace
gedbcaf ec ce fegacbd
gcdebaf gde bacgd egcdaf
aedfbg dcaf cbdega bgaefd
ae fbgea dega ae
bfgedac abg cfgbae ab
cfade fbadec eda bgadfc
agbf abd gdabfe ab
gabdcfe bceadf fgbdeac fegdc
ecgad abcfgde gbdeaf dfbce
bafge gbfeac fecbga gcafdbe
egfd ebfcagd egdf adbec
abf gacfedb cedaf ecadf
befcdag agfbc eadbgcf afceb
dcbe dbfgeac gcbea baecg
eg dbegfca aeg fgce
egdba fag cabfe gfa
abfed dbaefc cdaef dbfgac
acbdef acfbge bcfea beafc
cdgab acdgf dab ab
gba dgca fbegd fbdge
gace agefcdb caefbgd ae
egcdfab cgef ecfg fgcab
ac cfgbd ebfdacg acdf
ceadgbf bgda bagfec ade
bcgdfe fcg fega gf
cae gcef adefb facbged
ecb eabd bec egbdfc
fgdeabc df edgbfc egadf
aebf fde def egdba
ab bad dfacg dgafceb
fagd df cfgeadb ebfacg
debca daecb eacbd acb
gac ag facgebd egaf
gecfabd dbcgafe afgcbed db
cag bfgae gbfc daegbcf
agceb baecf gc dbfaceg
ge bfedcga abcdfge fbeca
gac adfeg cga gfbc
dabfg da bgeacdf dab
befdg dgefcb dgecf fdgec
ebc cb edfac bfgacde
gdfae agedcf fdageb fcg
da ad fcedba acd
dg eacdgf dg gecd
abfegdc gbadecf cefa cagedb
gfbde gf gf acbdfeg
afcge eda dae ad
geaf baedfgc fdeagc bdcega
acgfe gfdc dgfaec dca
dac cdgba gedafc ac
fcbdage abe eab eab
abfdg gfadb bcda badc
adfgbc cgedafb abc cba
cafdge gbcd acdfgeb cgaefd
begc bfgac bafgcd gcbe
abedc dcg edga dcg
daebg dcbeag efabg dbgae
fg fadbc cfgebd gf
fcbgd edgfac cafgdbe gcfab
eg eg efga bdefc
dfeagc cgdea fdecga fce
gcbda dbefc dcafgb gcfeabd
ecfbd egb beg adgb
cbfd adbgc fagcde dbceag
afd cbaf eadfgb caedf
badegf edfb fdg fgd
aefgdc defga ge bcaedg
bc dagbecf bc bec
afcbedg bgaefc cb egfdb
cbegfda gfdcae fadecb dac
caf cbgfdae cfabgd cfed
cegad gaf befadg dafgc
ea gacbedf efac acef
